version,section,filename,function,offset,length,language
us,main,audiomgr.c,__amHandleDoneMsg,2148735176,64,c
us,main,audiomgr.c,__amDMA,2148735240,408,c
us,main,audiomgr.c,__amDmaNew,2148735648,56,c
us,main,audiomgr.c,__clearAudioDMA,2148735704,280,c
us,main,audiomgr.c,initialise_audio,2148735984,1108,asm
us,main,audiomgr.c,func_80132044,2148737092,168,asm
us,main,audiomgr.c,func_801320EC,2148737260,136,c
us,main,audiomgr.c,func_80132174,2148737396,376,asm
us,main,audiomgr.c,func_801322EC,2148737772,168,c
us,main,audiomgr.c,func_80132394,2148737940,36,c
us,main,audiomgr.c,get_sound_by_slot,2148737976,92,c
us,main,audiomgr.c,get_sound_by_id,2148738068,96,c
us,main,audiomgr.c,func_80132474,2148738164,244,c
us,main,audiomgr.c,func_80132568,2148738408,24,c
us,main,audiomgr.c,func_80132580,2148738432,104,c
us,main,audiomgr.c,func_801325E8,2148738536,132,c
us,main,audiomgr.c,func_8013266C,2148738668,60,c
us,main,audiomgr.c,func_801326A8,2148738728,592,asm
us,main,audiomgr.c,func_801328F8,2148739320,848,asm
us,main,audiomgr.c,func_80132C48,2148740168,120,c
us,main,audiomgr.c,func_80132CC0,2148740288,148,c
us,main,audiomgr.c,get_used_sound_count,2148740436,48,c
us,main,audiomgr.c,func_80132D84,2148740484,492,c
us,main,audiomgr.c,func_80132F70,2148740976,268,asm
us,main,audiomgr.c,play_sound_effect,2148741244,268,asm
us,main,audiomgr.c,func_80133188,2148741512,260,asm
us,main,audiomgr.c,func_8013328C,2148741772,668,asm
us,main,audiomgr.c,func_80133528,2148742440,116,c
us,main,audiomgr.c,func_8013359C,2148742556,108,c
us,main,audiomgr.c,func_80133608,2148742664,68,c
us,main,audiomgr.c,func_8013364C,2148742732,236,c
us,main,audiomgr.c,stop_all_sounds,2148742968,132,c
us,main,audiomgr.c,func_801337BC,2148743100,32,c
us,main,audiomgr.c,func_801337DC,2148743132,128,c
us,main,audiomgr.c,func_8013385C,2148743260,76,c
us,main,audiomgr.c,func_801338A8,2148743336,336,c
us,main,audiomgr.c,func_801339F8,2148743672,380,c
us,main,audiomgr.c,set_sfx_volume,2148744052,44,c
us,main,audiomgr.c,set_music_volume,2148744096,68,c
us,main,audiomgr.c,func_80133BE4,2148744164,108,c
us,main,audiomgr.c,func_80133C50,2148744272,500,asm
us,main,audiomgr.c,func_80133E44,2148744772,64,c
us,main,audiomgr.c,func_80133E84,2148744836,124,c
us,main,csplayer.c,alCSPNew,2148744960,364,c
us,main,csplayer.c,__CSPVoiceHandler,2148745324,1356,c
us,main,csplayer.c,__CSPPostNextSeqEvent,2148746680,112,c
us,main,csplayer.c,__CSPHandleNextSeqEvent,2148746792,200,c
us,main,csplayer.c,__CSPHandleMIDIMsg,2148746992,2296,c
us,main,csplayer.c,__CSPHandleMetaMsg,2148749288,400,c
us,main,csplayer.c,__CSPRepostEvent,2148749688,160,c
us,main,csplayer.c,__setUsptFromTempo,2148749848,208,c
us,main,csplayer.c,func_801352E8,2148750056,560,c
us,main,csplayer.c,func_80135518,2148750616,152,c
us,main,thread1.c,init2,2148750768,84,c
us,main,thread1.c,thread1,2148750852,188,c
us,main,main_10DC0.c,func_801356C0,2148751040,1560,asm
us,main,main_10DC0.c,func_80135CD8,2148752600,1008,asm
